Ensembl,ERR186009,ERR567612,ERR567614,ERR567616,ERR567620,ERR650557,ERR650558,ERR650559
ENSG00000090470,526,1116,1361,1426,761,1416,1278,1165
ENSG00000090487,1026,1694,1891,2191,1328,2198,1828,1666
ENSG00000090512,0,0,0,0,0,0,0,0
ENSG00000090520,531,1921,2240,1944,1260,1733,2044,1377
ENSG00000090530,22,0,3,0,3,0,0,1
ENSG00000090534,0,0,0,0,0,1,0,0
ENSG00000090539,7,12,20,11,19,10,13,12
ENSG00000090554,306,704,803,714,447,891,974,810
ENSG00000090565,401,719,741,1112,792,1067,803,821
ENSG00000090581,564,951,1055,1370,656,1167,1047,1045
ENSG00000090612,1087,2035,2668,3714,1839,2660,2648,2356
ENSG00000090615,3433,5231,6147,7210,3948,7527,6669,6545
ENSG00000090621,2551,5276,6484,6890,4780,7833,5964,6171
ENSG00000090659,10,22,19,15,19,25,11,13
ENSG00000090661,188,347,413,533,234,629,510,490
ENSG00000090674,54,147,128,210,93,166,170,170
ENSG00000090686,1873,4779,5958,6776,5278,5896,4980,5020
ENSG00000090776,93,77,149,76,40,130,176,116
ENSG00000090857,951,2571,4419,3670,4724,6577,4939,2275
ENSG00000090861,1032,2122,1907,2526,1125,2554,1890,1927
ENSG00000090863,7650,16785,18969,23563,15760,23280,20753,19640
ENSG00000090889,1,14,19,22,5,6,11,3
ENSG00000090905,2396,6975,7922,9811,7756,7914,7579,7044
ENSG00000090924,334,519,605,803,964,916,796,886
ENSG00000090932,2,4,0,5,1,0,0,1
ENSG00000090971,42,35,38,49,24,62,61,61
ENSG00000090975,765,1922,2369,2626,2170,3079,2614,2437
ENSG00000090989,987,3602,4574,5220,2488,3790,3397,3248
ENSG00000091009,1572,3177,4008,4774,2227,3841,3745,3211
ENSG00000091010,3,2,0,3,0,4,2,0
ENSG00000091039,6083,15747,19284,25763,12038,21316,17266,15545
ENSG00000091073,190,300,344,373,369,536,416,343
ENSG00000091106,0,0,0,0,1,0,0,0
ENSG00000091127,206,437,643,709,242,650,667,499
ENSG00000091128,27,60,45,64,63,63,51,40
ENSG00000091129,27,623,171,1662,319,1292,348,231
ENSG00000091136,4,61,720,30,1,3,1,1
ENSG00000091137,17,16,24,15,26,24,18,5
ENSG00000091138,0,0,0,0,0,0,0,0
ENSG00000091140,1288,3096,3170,3762,2370,3262,2655,2566
ENSG00000091157,2532,5489,6561,7538,5256,6407,5429,5622
ENSG00000091164,701,1419,1652,1947,1598,1893,1693,1441
ENSG00000091181,6,4,18,12,15,14,16,19
ENSG00000091262,9,12,10,15,16,18,2,6
ENSG00000091317,2012,3118,3212,4045,2159,3622,3239,2955
ENSG00000091409,13027,25815,37178,43225,21516,36750,39853,30215
ENSG00000091428,24,64,124,60,93,62,69,57
ENSG00000091436,25,71,147,88,103,104,44,52
ENSG00000091482,0,2,0,0,0,0,0,0
ENSG00000091483,463,1001,1160,1370,574,1240,1017,856
ENSG00000091490,2040,3018,3179,3497,2476,4139,2981,3179
ENSG00000091513,10,32,32,16,12,17,24,7
ENSG00000091527,5561,11188,13257,15621,6309,14014,13094,11530
ENSG00000091536,32,37,47,59,63,68,58,45
ENSG00000091542,2682,3497,3723,4679,2036,4925,4869,3982
ENSG00000091583,0,0,1,2,0,0,0,0
ENSG00000091592,4742,11794,15348,17811,12738,17577,15340,16235
ENSG00000091622,9,26,33,40,37,21,18,15
ENSG00000091640,603,978,1163,1216,497,1317,949,972
ENSG00000091651,217,732,798,863,962,681,626,697
ENSG00000091656,0,0,1,0,0,0,0,0
ENSG00000091664,0,0,0,0,0,0,0,0
ENSG00000091704,0,0,1,0,0,1,0,0
ENSG00000091732,291,568,656,658,466,579,571,419
ENSG00000091831,93,135,318,134,191,194,347,81
ENSG00000091844,20,90,99,208,124,72,88,58
ENSG00000091879,8,12,117,39,6,12,3,2
ENSG00000091947,584,387,671,766,300,782,646,384
ENSG00000091972,47,135,213,154,82,140,155,112
ENSG00000091986,19,47,87,58,56,35,31,21
ENSG00000092009,0,0,0,0,0,0,0,0
ENSG00000092010,3378,6072,5408,7738,2848,6494,5875,5509
ENSG00000092020,586,1397,1605,1523,994,1329,1307,1088
ENSG00000092036,513,639,689,725,356,807,735,583
ENSG00000092051,3,0,1,1,1,1,0,0
ENSG00000092054,3,0,0,0,0,0,0,0
ENSG00000092067,24,15,14,17,3,20,15,24
ENSG00000092068,211,9,26,18,4,22,155,115
ENSG00000092094,623,1949,2848,2490,1414,2422,2278,2119
ENSG00000092096,394,233,422,359,188,621,437,397
ENSG00000092098,619,838,966,1054,603,1191,1049,987
ENSG00000092108,1015,3087,4032,4187,2865,3455,3084,3040
ENSG00000092140,1117,4094,4725,5637,4446,3983,3234,3262
ENSG00000092148,4977,13409,15832,17204,9535,15195,14822,12131
ENSG00000092199,13044,21891,26999,29552,17484,27535,26699,24511
ENSG00000092200,1,6,4,7,3,6,5,2
ENSG00000092201,3231,5562,6724,7960,4096,7438,6481,6146
ENSG00000092203,1463,3858,4096,4908,3071,4436,3918,3630
ENSG00000092208,156,348,446,380,229,375,336,275
ENSG00000092295,29,132,61,91,88,102,73,92
ENSG00000092330,1530,2685,2981,2884,1755,3125,2944,2606
ENSG00000092345,1,0,0,0,0,0,0,0
ENSG00000092377,0,0,0,3,0,0,0,0
ENSG00000092421,16,0,10,0,1,2,1,0
ENSG00000092439,4432,9892,12787,13749,8715,11531,10216,9429
ENSG00000092445,76,163,188,253,278,182,174,189
ENSG00000092470,362,789,888,1086,580,979,823,933
ENSG00000092529,35,162,171,190,180,170,167,160
ENSG00000092531,1185,3113,3719,4184,2148,3729,3452,3133
ENSG00000092607,2,1,1,2,2,3,3,0
ENSG00000092621,151,133,177,244,113,277,128,218
ENSG00000092758,7,1,8,9,0,2,7,3
ENSG00000092820,4180,5857,6218,8172,3981,8629,6927,6708
ENSG00000092841,6592,7874,8275,10242,4080,9619,7723,8608
ENSG00000092847,1230,2405,2661,3450,2440,3404,2749,2543
ENSG00000092850,9,7,12,15,8,1,12,10
ENSG00000092853,32,58,60,65,57,62,42,40
ENSG00000092871,1435,2715,3084,3557,3092,3812,2747,2711
ENSG00000092929,2282,3362,3599,4363,1906,4534,3849,3882
ENSG00000092931,681,1137,1386,1489,1076,1245,1150,1073
ENSG00000092964,796,510,1118,1170,687,1115,543,1174
ENSG00000092969,1,5,1,3,4,8,5,2
ENSG00000092978,622,1575,1828,2163,1180,2098,1621,1290
ENSG00000093000,3585,5723,6912,7824,4124,7699,6936,6013
ENSG00000093009,6,18,15,37,10,23,15,23
ENSG00000093010,451,462,640,785,345,734,690,731
ENSG00000093072,1567,1985,2296,2605,2786,3411,2611,2361
ENSG00000093100,3,0,7,12,8,3,3,3
ENSG00000093134,3,11,28,6,19,11,17,16
ENSG00000093144,1121,1984,2462,2419,1438,2491,1983,1848
ENSG00000093167,597,1704,2071,2267,1847,1822,1497,1405
ENSG00000093183,1317,3577,3975,4609,2298,4028,3731,3415
ENSG00000093217,24,122,254,232,226,176,49,132
ENSG00000094631,954,2300,2732,3040,1316,3360,2747,2893
ENSG00000094661,0,0,0,0,0,0,0,0
ENSG00000094755,4,40,53,66,45,36,46,28
ENSG00000094796,0,0,0,0,0,0,0,0
ENSG00000094804,12,13,35,22,23,22,14,8
ENSG00000094841,696,1223,1489,1738,1060,1354,1204,1196
ENSG00000094880,692,1513,1884,2101,1094,1922,1574,1321
ENSG00000094914,465,975,1221,1333,500,1252,1213,1186
ENSG00000094916,4094,6195,7528,10144,8147,9560,7152,6750
ENSG00000094963,0,0,0,0,0,0,0,0
ENSG00000094975,2408,6164,6926,7564,4752,6748,5299,4573
ENSG00000095002,1229,1919,3164,2594,1797,2683,2472,2168
ENSG00000095015,7928,19575,21182,25233,14413,22050,19254,15841
ENSG00000095059,1222,2102,2593,2808,1440,2712,2724,2453
ENSG00000095066,422,433,548,529,304,539,476,515
ENSG00000095110,0,0,0,0,0,0,0,0
ENSG00000095139,2723,4599,4883,6475,3536,6697,5749,5287
ENSG00000095203,1,2,0,0,0,1,1,0
ENSG00000095209,643,957,925,1041,692,923,921,888
ENSG00000095261,517,1239,1428,1455,1522,1551,1281,1154
ENSG00000095303,67,6,25,24,15,5,2,94
ENSG00000095319,1109,2657,3068,3318,2431,3419,3154,2906
ENSG00000095321,167,265,297,339,157,458,284,281
ENSG00000095370,862,887,1396,1271,517,1700,1673,1521
ENSG00000095380,370,887,848,680,618,767,760,601
ENSG00000095383,157,227,239,256,177,318,261,284
ENSG00000095397,26,33,60,37,46,58,110,77
ENSG00000095464,0,0,0,1,0,0,0,0
ENSG00000095485,1298,3338,3778,4647,2663,3703,3169,2767
ENSG00000095539,7,10,16,19,27,18,15,17
ENSG00000095564,4023,14686,17822,20218,9379,18317,15820,15388
ENSG00000095574,1230,3178,3909,5144,3537,3956,3113,3171
ENSG00000095585,34,1,3,15,0,24,9,10
ENSG00000095587,8,6,24,29,30,16,21,15
ENSG00000095596,0,1,3,1,1,0,4,1
ENSG00000095627,17,44,12,94,14,1,27,39
ENSG00000095637,40,71,120,95,129,86,113,88
ENSG00000095713,0,0,0,0,0,0,0,0
ENSG00000095739,7,5,11,15,4,15,7,3
ENSG00000095752,14,32,38,37,34,38,27,19
ENSG00000095777,0,0,1,0,0,0,0,0
ENSG00000095787,4680,10583,11086,13394,8703,12016,10958,10712
ENSG00000095794,818,1559,1029,1390,1162,1167,980,750
ENSG00000095906,959,561,743,1002,452,981,762,823
ENSG00000095917,0,0,0,0,1,0,0,0
ENSG00000095932,1,4,2,16,10,4,8,5
ENSG00000095951,2794,7358,8950,11499,10142,11619,8262,7935
ENSG00000095970,0,0,1,0,0,0,0,0
ENSG00000095981,0,0,0,0,0,0,0,0
ENSG00000096006,0,0,0,0,0,6,0,0
ENSG00000096060,5102,6509,8141,13017,7529,11615,6298,6307
ENSG00000096063,1352,2608,3126,3563,2116,3429,2770,2717
ENSG00000096070,662,1083,975,1259,1155,1296,1224,1010
ENSG00000096080,367,528,619,814,461,691,673,624
ENSG00000096088,0,1,1,3,1,3,2,2
ENSG00000096092,172,225,281,285,120,231,212,167
ENSG00000096093,131,453,450,638,339,571,553,425
ENSG00000096150,0,0,0,0,0,0,0,0
ENSG00000096155,0,0,0,0,0,0,0,0
ENSG00000096171,0,0,0,0,0,0,0,0
ENSG00000096264,1,0,0,0,0,0,0,0
ENSG00000096384,12517,21670,26112,25221,11204,26609,23753,22106
ENSG00000096395,0,0,0,0,0,0,0,0
ENSG00000096401,1572,3758,4744,4491,2517,4327,4028,3212
ENSG00000096433,2321,4357,4997,7028,4328,6226,5872,6475
ENSG00000096654,339,811,961,839,563,1117,915,765
ENSG00000096696,0,1,2,0,0,2,2,1
ENSG00000096717,1397,3622,4337,4815,3030,4058,4218,2965
ENSG00000096746,1898,3006,3988,4901,3616,5204,3422,3826
ENSG00000096872,319,729,883,930,548,1021,677,738
ENSG00000096968,719,2164,2468,2848,1733,2306,2010,2013
ENSG00000096996,774,931,965,1135,629,1259,1146,1180
ENSG00000097007,558,1497,1541,2006,1236,2145,1698,1471
ENSG00000097021,53,112,88,101,37,131,75,104
ENSG00000097033,1675,4442,5091,6249,3298,5613,4841,4167
ENSG00000097046,212,278,614,406,461,419,430,538
ENSG00000097096,555,1303,1094,1621,943,1619,923,830
ENSG00000099139,1500,3611,4149,5231,3916,4761,4008,4300
ENSG00000099194,70,327,470,302,150,210,211,184
ENSG00000099203,133,138,161,163,91,192,187,148
ENSG00000099204,12558,23568,27597,34689,22438,34599,24476,27139
ENSG00000099219,789,1318,2035,2238,1155,1683,1318,1547
ENSG00000099246,1671,4713,5477,6524,3837,4844,3740,3966
ENSG00000099250,166,49,451,46,15,13,6,13
ENSG00000099251,86,269,254,260,153,297,215,134
ENSG00000099256,12,23,45,67,37,67,38,44
ENSG00000099260,0,19,224,14,0,0,0,0
ENSG00000099282,47,33,73,54,30,45,51,40
ENSG00000099284,101,233,189,307,108,349,298,213
ENSG00000099290,894,2331,2457,3175,1780,2918,2365,2201
ENSG00000099308,895,1280,1387,1754,1666,2732,1828,1868
ENSG00000099326,649,918,1145,1291,812,1445,1257,1118
ENSG00000099330,87,169,164,175,159,199,137,207
ENSG00000099331,3129,4902,5413,7390,4211,7571,5747,6554
ENSG00000099337,246,404,625,491,324,511,521,510
ENSG00000099338,112,245,359,324,287,321,262,325
ENSG00000099341,975,1533,1562,1812,853,1801,1684,1491
ENSG00000099364,326,243,339,458,185,447,428,438
ENSG00000099365,54,54,95,82,115,94,75,97
ENSG00000099377,9,10,20,7,12,15,15,8
ENSG00000099381,336,711,804,1027,985,1228,1006,1013
ENSG00000099385,673,658,688,887,347,848,803,763
ENSG00000099399,0,0,0,0,0,0,0,0
ENSG00000099617,1,0,0,0,0,0,0,0
ENSG00000099622,8555,12084,13553,18277,6241,15940,12852,11882
ENSG00000099624,185,185,205,323,150,397,289,371
ENSG00000099625,4,0,1,2,0,0,0,0
ENSG00000099715,23,27,26,32,50,36,24,26
ENSG00000099721,0,0,0,0,0,0,0,0
ENSG00000099725,21,7429,29,9174,50,8783,49,21
ENSG00000099769,26,12,27,39,11,40,33,28
ENSG00000099783,4203,6069,6943,8201,5154,7852,6317,6741
ENSG00000099785,394,490,464,710,228,655,492,548
ENSG00000099795,554,335,399,514,148,590,475,539
ENSG00000099797,1131,1501,1704,2110,1232,2134,1900,1824
ENSG00000099800,471,351,535,389,268,550,450,365
ENSG00000099804,295,268,352,355,210,478,550,423
ENSG00000099810,895,2322,2629,3037,2221,2877,2240,1864
ENSG00000099812,2,3,3,7,8,2,4,2
ENSG00000099814,76,99,71,129,43,283,86,79
ENSG00000099817,760,774,774,1133,345,1150,1133,887
ENSG00000099821,1222,1173,1698,1835,631,1810,1739,1968
ENSG00000099822,8,13,18,13,12,31,18,41
ENSG00000099834,6,0,0,0,0,0,0,0
ENSG00000099840,86,208,241,297,68,226,240,248
ENSG00000099849,670,398,561,746,201,691,706,611
ENSG00000099860,711,583,700,604,248,1141,740,913
ENSG00000099864,9,11,33,23,15,15,6,7
ENSG00000099866,15,4,14,3,3,11,5,9
ENSG00000099869,0,0,0,0,0,0,0,0
ENSG00000099875,2423,2673,2792,3359,1475,4098,4107,3441
ENSG00000099889,88,61,131,125,46,125,117,96
ENSG00000099899,1053,1432,1666,1919,772,1954,1722,1840
ENSG00000099901,626,958,1078,1402,613,1247,1088,1119
ENSG00000099904,365,607,681,1022,432,1129,751,768
ENSG00000099910,724,1332,1631,1561,1311,1719,1397,1430
ENSG00000099917,1294,2599,2661,3193,3147,3600,2616,2910
ENSG00000099937,0,0,0,0,0,0,0,0
ENSG00000099940,518,830,714,1123,524,1193,770,848
ENSG00000099942,2317,4116,4698,4966,2903,5549,5159,4233
ENSG00000099949,1039,1753,1972,2403,1042,2708,2174,2113
ENSG00000099953,103,99,123,170,56,118,99,72
ENSG00000099954,7,18,25,23,32,23,25,19
ENSG00000099956,618,899,1077,1111,705,1170,1023,949
ENSG00000099957,13,40,53,38,41,24,59,23
ENSG00000099958,72,33,34,69,9,100,31,25
ENSG00000099960,2,0,0,2,0,0,0,0
ENSG00000099968,1305,2241,2773,3115,1427,3157,2847,2548
ENSG00000099974,44,0,103,2,82,71,5,48
ENSG00000099977,337,601,624,780,337,821,679,588
ENSG00000099984,0,0,0,0,0,0,0,0
ENSG00000099985,252,391,331,248,137,353,380,394
ENSG00000099991,2170,4569,5816,6346,4797,6430,4993,5247
ENSG00000099992,989,1539,1628,1879,1544,2070,1859,1433
ENSG00000099994,30,72,93,114,96,105,155,95
ENSG00000099995,2106,4229,4350,5503,4501,5961,5134,4790
ENSG00000099998,6,26,30,24,39,26,24,25
ENSG00000099999,105,177,184,196,154,222,195,176
ENSG00000100003,747,2091,1180,1907,1246,1757,1793,1886
ENSG00000100012,4,4,6,5,5,7,1,4
ENSG00000100014,585,1036,956,1169,588,1195,1106,909
ENSG00000100023,985,2252,2758,3315,1682,3184,2963,2855
ENSG00000100024,94,119,76,159,103,172,74,111
ENSG00000100027,96,111,262,173,163,274,173,173
ENSG00000100028,1091,1903,2284,2718,1131,2628,2183,2263
ENSG00000100029,819,1421,1695,1944,793,1745,1733,1552
ENSG00000100030,3487,7022,8290,9408,5606,9434,8000,7469
ENSG00000100031,104,162,178,248,113,207,198,179
ENSG00000100033,30,36,53,39,27,65,58,75
ENSG00000100034,1313,1418,1870,2135,895,1927,1970,1756
ENSG00000100036,33,31,47,54,46,58,59,29
ENSG00000100038,576,1127,1349,1555,1003,1633,1415,1356
ENSG00000100053,0,1,3,3,8,0,0,0
ENSG00000100055,2597,4489,6138,7321,3282,7331,6600,5162
ENSG00000100056,439,650,756,811,463,858,800,721
ENSG00000100058,267,807,984,1118,1026,1065,837,824
ENSG00000100060,3168,4234,5203,6612,2929,6462,5555,5053
ENSG00000100065,12,5,23,6,4,3,5,1
ENSG00000100068,117,279,417,471,387,416,238,281
ENSG00000100075,444,409,570,714,260,699,572,563
ENSG00000100077,165,448,680,686,569,856,629,395
ENSG00000100078,0,1,0,0,0,0,0,0
ENSG00000100079,3,0,1,4,1,0,2,1
ENSG00000100083,916,1919,2290,2591,1378,2683,2479,2326
ENSG00000100084,253,389,429,511,289,532,498,412
ENSG00000100092,972,974,1082,1509,734,1796,1509,1526
ENSG00000100095,0,3,1,3,0,0,0,0
ENSG00000100097,167,148,283,345,103,300,141,227
ENSG00000100099,1154,3101,3558,4249,2603,3845,3184,3180
ENSG00000100100,28047,30389,42271,62217,18844,49155,32762,33567
ENSG00000100101,2,1,1,4,3,2,1,6
ENSG00000100104,460,995,1129,1611,700,1333,1029,992
ENSG00000100105,1388,2307,2716,3354,1898,3232,3099,2431
ENSG00000100106,217,352,451,547,314,527,561,454
ENSG00000100109,907,2121,2076,2984,1458,2230,2593,1823
ENSG00000100116,63,64,104,126,43,197,168,129
ENSG00000100121,0,0,0,0,0,1,1,0
ENSG00000100122,0,0,0,2,0,2,0,0
ENSG00000100124,208,366,471,437,299,404,393,358
ENSG00000100129,6699,11683,13265,16125,6103,14637,13411,12082
ENSG00000100138,1544,2452,2562,2925,1441,2981,2491,2459
ENSG00000100139,528,957,906,1181,730,1213,968,959
ENSG00000100142,4,22,23,40,34,32,25,18
ENSG00000100146,0,0,0,1,0,0,0,0
ENSG00000100147,286,410,444,568,358,616,538,503
ENSG00000100150,582,1372,1513,1766,1422,1670,1553,1388
ENSG00000100151,311,574,699,776,393,767,643,648
ENSG00000100154,202,412,454,744,725,828,345,329
ENSG00000100156,3,0,0,0,0,0,0,0
ENSG00000100162,65,58,35,35,19,46,61,38
ENSG00000100167,2,3,3,3,3,1,4,3
ENSG00000100170,0,0,0,1,0,0,1,1
ENSG00000100181,53,35,86,286,161,195,85,90
ENSG00000100191,0,1,0,0,0,0,0,0
ENSG00000100196,5,3,10,3,0,1,1,2
ENSG00000100197,63,142,130,161,159,192,119,162
ENSG00000100201,20497,63216,78676,87812,59114,84264,67890,62349
ENSG00000100206,25,34,75,46,44,39,34,55
ENSG00000100207,3806,7065,7732,9162,6196,8578,8106,7535
ENSG00000100209,146,272,292,277,174,293,267,238
ENSG00000100211,172,303,434,430,230,464,425,367
ENSG00000100216,1319,1630,1858,2186,954,1951,1867,1634
ENSG00000100218,5,9,6,8,6,9,6,8
ENSG00000100219,4204,4294,5356,4117,2758,6471,5076,3803
ENSG00000100220,1148,2207,2309,2717,1372,2498,2143,2051
ENSG00000100221,2183,5573,5245,6277,2946,5385,5766,4747
ENSG00000100225,2324,5840,7754,11813,4778,8205,7766,5815
ENSG00000100226,1489,3299,3026,3411,2722,3491,3272,3063
ENSG00000100227,1444,2918,3228,3578,2006,3227,3469,2654
ENSG00000100228,50,153,134,146,170,139,128,135
ENSG00000100234,0,0,2,0,0,0,0,0
ENSG00000100239,1933,3247,3446,4525,2450,4482,3392,3633
ENSG00000100241,5401,6324,7152,9083,4009,10945,8731,8665
ENSG00000100242,18765,22011,26101,31796,13140,33714,29749,27859
ENSG00000100243,382,616,697,966,578,899,702,757
ENSG00000100246,156,183,226,200,99,263,225,182
ENSG00000100249,0,0,0,0,0,0,0,0
ENSG00000100253,7,28,30,26,26,29,15,18
ENSG00000100258,1207,1560,2061,2915,872,3008,2292,2282
ENSG00000100263,173,208,287,304,164,343,328,266
ENSG00000100266,981,1750,2182,2183,1748,2122,2299,1776
ENSG00000100271,162,249,280,339,150,368,322,329
ENSG00000100276,1,3,4,3,5,8,3,4
ENSG00000100280,984,1725,2022,2283,1204,2309,2058,2057
ENSG00000100281,464,1209,1356,1639,1282,1650,1474,1180
ENSG00000100284,802,1110,1278,1317,818,1254,1185,1090
ENSG00000100285,5,12,18,17,4,30,26,14
ENSG00000100288,128,523,534,607,307,585,576,602
ENSG00000100290,22,19,27,17,8,27,21,13
ENSG00000100292,3,3,22,18,4,12,14,10
ENSG00000100294,93,110,170,113,48,153,160,95
ENSG00000100296,904,1715,1810,2043,1470,1853,1922,1624
ENSG00000100297,1050,1389,1743,2064,907,2211,1773,1699
ENSG00000100298,1,3,4,6,4,14,4,6
ENSG00000100299,448,719,781,1083,642,1249,1100,1177
ENSG00000100300,1304,527,771,1054,263,1046,868,706
ENSG00000100302,2,0,3,0,0,2,4,2
ENSG00000100304,390,533,943,751,286,724,837,730
ENSG00000100307,1295,3147,3290,3956,2692,4070,3082,3130
ENSG00000100311,61,76,150,54,67,85,74,7
ENSG00000100312,0,0,1,0,0,0,0,0
ENSG00000100314,16,6,9,5,4,3,3,3
ENSG00000100316,74646,121797,117980,138894,55581,123619,123489,108510
ENSG00000100319,252,351,387,466,222,426,425,382
ENSG00000100320,73,414,268,155,92,79,90,81
ENSG00000100321,8,8,9,7,12,18,17,20
ENSG00000100324,523,833,942,1027,645,1089,1039,941
ENSG00000100325,883,1937,2230,2385,1414,2341,2391,2252
ENSG00000100330,2095,4689,5626,6786,4651,5777,5384,4636
ENSG00000100335,980,1603,1862,2999,1426,2517,2121,1776
ENSG00000100336,59,180,221,278,302,214,173,128
ENSG00000100341,1,0,0,0,0,0,0,0
ENSG00000100342,249,229,274,355,233,351,269,278
ENSG00000100344,4,2,9,10,5,10,4,5
ENSG00000100345,33573,49454,53008,68760,30240,66218,56437,57539
ENSG00000100346,1089,1922,4198,2965,2754,3120,3766,3156
ENSG00000100347,610,1224,1248,1431,1042,1753,1127,1212
ENSG00000100348,455,493,555,602,347,780,519,590
ENSG00000100350,61,91,95,192,93,116,115,107
ENSG00000100351,2674,4606,5117,6978,5570,5927,4729,5806
ENSG00000100353,6120,9889,10868,13493,5941,12199,11223,10301
ENSG00000100354,9379,20445,21602,29770,25690,25472,19942,18834
ENSG00000100359,1712,2598,2663,3435,1379,3473,3005,3294
ENSG00000100360,186,614,823,969,557,977,696,819
ENSG00000100362,0,0,0,0,0,0,0,0
ENSG00000100364,547,519,558,738,367,757,617,594
ENSG00000100365,28,14,44,11,23,38,33,51
ENSG00000100368,144,18,41,108,32,129,23,44
ENSG00000100372,212,458,626,557,409,562,511,440
ENSG00000100373,1,0,0,0,0,1,0,0
ENSG00000100376,855,3045,13933,1873,1532,2413,1950,9648
ENSG00000100379,251,257,285,303,154,294,291,315
ENSG00000100380,5445,8809,11018,12773,5096,11534,10487,9857
ENSG00000100385,263,608,527,433,369,940,665,723
ENSG00000100387,703,1352,1590,1627,1048,1541,1383,1085
ENSG00000100393,2047,4373,4553,5672,7405,6523,5464,4808
ENSG00000100395,1021,1736,2151,2077,1285,2279,2183,1830
ENSG00000100399,20,19,18,48,5,27,13,25
ENSG00000100401,1358,2238,2667,2743,1687,2963,2658,2427
ENSG00000100403,1754,3333,3828,4429,2018,4697,3975,3738
ENSG00000100410,523,832,935,1218,514,1033,990,806
ENSG00000100412,1363,2087,2188,2918,1452,2580,2373,2127
ENSG00000100413,829,1249,1572,1679,1071,1778,1634,1660
ENSG00000100416,751,1571,2040,2419,1162,2079,1901,1807
ENSG00000100417,258,465,474,611,256,546,484,498
ENSG00000100418,597,1147,1506,1588,904,1538,1651,1407
ENSG00000100422,3173,4670,5983,6782,3851,8555,6991,5760
ENSG00000100425,2345,3668,4392,5224,3884,5525,4177,4491
ENSG00000100426,919,1484,1588,1978,1699,2126,1839,1856
ENSG00000100427,2,6,13,27,19,52,17,15
ENSG00000100429,114,165,276,307,162,280,247,240
ENSG00000100433,24,0,0,0,0,0,0,0
ENSG00000100439,92,176,210,195,180,236,141,185
ENSG00000100441,3938,8821,9313,10785,4926,8642,8701,9377
ENSG00000100442,1226,2125,2675,3231,1643,2704,2461,2359
ENSG00000100445,814,1569,2067,2350,995,2204,1856,1844
ENSG00000100448,0,8,0,0,1,5,0,6
ENSG00000100450,13,9,10,48,123,208,20,24
ENSG00000100453,490,6,3,15,55,74,4,12
ENSG00000100461,2932,5013,5895,5893,3942,5041,5870,4568
ENSG00000100462,395,658,945,866,443,910,923,767
ENSG00000100473,1,1,2,17,2,15,5,3
ENSG00000100478,720,1270,1675,1940,1075,1642,1513,1415
ENSG00000100479,44,58,78,66,37,84,65,74
ENSG00000100483,434,1273,1286,1621,726,1356,1339,1032
ENSG00000100485,1683,4498,4993,6641,3972,5420,5049,4894
ENSG00000100490,138,231,278,279,253,225,238,256
ENSG00000100503,7520,17102,18633,26382,15637,25181,21743,21346
ENSG00000100504,32,26,55,32,41,31,25,38
ENSG00000100505,19,34,46,57,50,60,47,37
ENSG00000100519,1635,4458,5286,6101,3100,5001,4216,3948
ENSG00000100522,429,790,1026,979,583,1030,871,741
ENSG00000100523,1714,5914,6246,8135,7476,6850,4824,5503
ENSG00000100526,14,35,38,33,12,41,27,30
ENSG00000100528,1129,2209,2399,2597,1547,2647,2132,1776
ENSG00000100532,558,988,1065,1209,730,1020,947,830
ENSG00000100554,337,716,862,855,544,781,729,594
ENSG00000100557,21,36,49,36,54,37,29,26
ENSG00000100558,21,24,52,49,19,29,33,31
ENSG00000100564,326,1092,1131,1549,656,1255,1208,963
ENSG00000100565,0,1,0,1,1,0,0,0
ENSG00000100567,623,1483,1785,2053,1392,1827,1391,1421
ENSG00000100568,1003,1689,2199,2238,1453,2241,2150,1689
ENSG00000100575,300,505,622,694,478,698,588,563
ENSG00000100577,240,395,499,509,311,576,477,358
ENSG00000100578,1588,3759,4872,4777,3184,4528,3920,3626
ENSG00000100580,649,1112,1468,1611,883,1583,1181,1197
ENSG00000100583,6,3,1,6,2,8,4,4
ENSG00000100591,1216,1478,1959,1731,800,2011,1860,1883
ENSG00000100592,447,549,992,814,806,953,700,730
ENSG00000100593,0,0,1,0,0,2,0,0
ENSG00000100596,1033,1502,2005,2518,1482,2243,2071,1574
ENSG00000100599,864,1699,1930,2314,3189,3302,1836,1978
ENSG00000100600,274,285,383,455,259,391,420,361
ENSG00000100601,237,480,564,618,420,642,529,404
ENSG00000100603,1694,3748,4375,4922,2363,4612,3896,3560
ENSG00000100604,0,0,0,0,0,0,0,0
ENSG00000100605,377,768,805,1032,501,1033,745,788
ENSG00000100612,1217,1155,1464,1493,640,1446,1227,1187
ENSG00000100614,2189,7385,8023,9089,6128,7003,6222,5396
ENSG00000100625,53,93,123,124,152,122,92,88
ENSG00000100626,28,47,75,100,104,54,71,80
ENSG00000100628,1,4,0,7,1,6,4,3
ENSG00000100629,392,339,834,1348,709,752,647,780
ENSG00000100632,944,1791,1917,2469,1015,2220,1780,1640
ENSG00000100644,2588,7504,8643,10872,6600,8467,7812,7502
ENSG00000100647,1124,1734,2030,2408,1756,2458,2013,2053
ENSG00000100650,19401,36623,43068,44454,18394,43182,43321,37855
ENSG00000100652,5,0,5,1,0,3,0,0
ENSG00000100664,7567,19991,21351,29083,14208,22152,21959,19076
ENSG00000100665,2,0,0,0,0,0,0,0
ENSG00000100678,0,0,0,8,7,1,2,9
